onset	duration	sample	value
-0.001	9436.844	-0.5	boundary
0.01072311628	0.002	5.3616	LTO
0.4270568272	0.002	213.5284	LHS
0.6477638547	0.002	323.8819	RTO
1.16340949	0.002	581.7047	RHS
1.32801443	0.002	664.0072	LTO
1.771948964	0.002	885.9745	LHS
2.006386302	0.002	1003.1932	RTO
2.445332808	0.002	1222.6664	RHS
2.654830004	0.002	1327.415	LTO
3.118716652	0.002	1559.3583	LHS
3.303273706	0.002	1651.6369	RTO
3.732244155	0.002	1866.1221	RHS
3.971669522	0.002	1985.8348	LTO
4.330807572	0.002	2165.4038	LHS
4.575220967	0.002	2287.6105	RTO
4.904430847	0.002	2452.2154	RHS
4.999253498	0	2499.6267	TrialStart
5.133880157	0.002	2566.9401	LTO
5.527934406	0.002	2763.9672	LHS
5.772347802	0.002	2886.1739	RTO
6.232145826	0.002	3116.0729	RHS
6.412362422	0.002	3206.1812	LTO
6.83787383	0.002	3418.9369	LHS
7.078162625	0.002	3539.0813	RTO
7.498668017	0.002	3749.334	RHS
7.698908679	0.002	3849.4543	LTO
8.079365938	0.002	4039.683	LHS
8.29462465	0.002	4147.3123	RTO
8.750172158	0.002	4375.0861	RHS
8.95041282	0.002	4475.2064	LTO
9.340882112	0.002	4670.4411	LHS
9.571158874	0.002	4785.5794	RTO
10.01168833	0.002	5005.8442	RHS
10.16687485	0.002	5083.4374	LTO
10.60239829	0.002	5301.1991	LHS
10.87272318	0.002	5436.3616	RTO
11.31358905	0.002	5656.7945	RHS
11.47895329	0.002	5739.4766	LTO
11.91491357	0.002	5957.4568	LHS
12.16045441	0.002	6080.2272	RTO
12.51122705	0.002	6255.6135	RHS
12.68661337	0.002	6343.3067	LTO
13.15263987	0.002	6576.3199	LHS
13.39818071	0.002	6699.0904	RTO
13.80407476	0.002	6902.0374	RHS
13.95941693	0.002	6979.7085	LTO
14.35027786	0.002	7175.1389	LHS
14.61085182	0.002	7305.4259	RTO
15.00171276	0.002	7500.8564	RHS
15.18211011	0.002	7591.0551	LTO
15.59802624	0.002	7799.0131	LHS
15.84356708	0.002	7921.7835	RTO
16.25817168	0.002	8129.0858	RHS
16.45270479	0.002	8226.3524	LTO
16.81184284	0.002	8405.9214	LHS
17.05126821	0.002	8525.6341	RTO
17.4702626	0.002	8735.1313	RHS
17.63985557	0.002	8819.9278	LTO
18.04388588	0.002	9021.9429	LHS
