onset	duration	sample	value
-0.001	8907.548	-0.5	boundary
0.09238516754	0.002	46.1926	RHS
0.337573176	0.002	168.7866	LTO
0.7528916394	0.002	376.4458	LHS
1.023098832	0.002	511.5494	RTO
1.353326198	0.002	676.6631	RHS
1.618377207	0.002	809.1886	LTO
1.968444576	0.002	984.2223	LHS
2.248498472	0.002	1124.2492	RTO
2.638573541	0.002	1319.2868	RHS
2.808606264	0.002	1404.3031	LTO
3.163674596	0.002	1581.8373	LHS
3.388717905	0.002	1694.359	RTO
3.698777576	0.002	1849.3888	RHS
3.948825697	0.002	1974.4128	LTO
4.313895954	0.002	2156.948	LHS
4.543940225	0.002	2271.9701	RTO
4.808991234	0.002	2404.4956	RHS
5	0	2500	TrialStart
5.084044167	0.002	2542.0221	LTO
5.404105763	0.002	2702.0529	LHS
5.559135598	0.002	2779.5678	RTO
5.879197193	0.002	2939.5986	RHS
6.074234728	0.002	3037.1174	LTO
6.454307872	0.002	3227.1539	LHS
6.678798167	0.002	3339.3991	RTO
6.962766067	0.002	3481.383	RHS
7.211860716	0.002	3605.9304	LTO
7.565575117	0.002	3782.7876	LHS
7.799724087	0.002	3899.862	RTO
8.128529024	0.002	4064.2645	RHS
8.342750422	0.002	4171.3752	LTO
8.65660968	0.002	4328.3048	LHS
8.855885399	0.002	4427.9427	RTO
9.119925727	0.002	4559.9629	RHS
9.299273874	0.002	4649.6369	LTO
9.59320556	0.002	4796.6028	LHS
9.737680456	0.002	4868.8402	RTO
10.04655782	0.002	5023.2789	RHS
10.2757249	0.002	5137.8624	LTO
10.53976523	0.002	5269.8826	LHS
10.72907716	0.002	5364.5386	RTO
10.99311749	0.002	5496.5587	RHS
11.20733888	0.002	5603.6694	LTO
11.52618004	0.002	5763.09	LHS
11.66567304	0.002	5832.8365	RTO
11.99059363	0.002	5995.2968	RHS
12.20584099	0.002	6102.9205	LTO
12.50118039	0.002	6250.5902	LHS
12.62632421	0.002	6313.1621	RTO
12.94669238	0.002	6473.3462	RHS
13.15192823	0.002	6575.9641	LTO
13.49732516	0.002	6748.6626	LHS
13.50233092	0.002	6751.1655	LTO
13.50733667	0.002	6753.6683	LHS
13.66752075	0.002	6833.7604	RTO
13.94283715	0.002	6971.4186	RHS
14.11803849	0.002	7059.0192	LTO
14.48345843	0.002	7241.7292	LHS
14.67367703	0.002	7336.8385	RTO
14.96401068	0.002	7482.0053	RHS
15.16924654	0.002	7584.6233	LTO
15.50463196	0.002	7752.316	LHS
15.64979879	0.002	7824.8994	RTO
15.92511518	0.002	7962.5576	RHS
16.16038556	0.002	8080.1928	LTO
16.49577098	0.002	8247.8855	LHS
16.68598958	0.002	8342.9948	RTO
17.05621447	0.002	8528.1072	RHS
17.26585367	0.002	8632.9268	LTO
17.60526952	0.002	8802.6348	LHS
17.83487435	0.002	8917.4372	RTO
18.09442765	0.002	9047.2138	RHS
18.2791098	0.002	9139.5549	LTO
18.66843974	0.002	9334.2199	LHS
18.85312189	0.002	9426.5609	RTO
19.13763223	0.002	9568.8161	RHS
19.35725425	0.002	9678.6271	LTO
19.646756	0.002	9823.378	LHS
19.81646392	0.002	9908.232	RTO
20.06603439	0.002	10033.0172	RHS
20.21577668	0.002	10107.8883	LTO
20.53023548	0.002	10265.1177	LHS
20.76483172	0.002	10382.4159	RTO
21.05932488	0.002	10529.6624	RHS
21.28892972	0.002	10644.4649	LTO
21.57344006	0.002	10786.72	LHS
21.79306208	0.002	10896.531	RTO
22.08755524	0.002	11043.7776	RHS
22.27240951	0.002	11136.2048	LTO
22.53771439	0.002	11268.8572	LHS
22.77298477	0.002	11386.4924	RTO
23.04830116	0.002	11524.1506	RHS
23.21849675	0.002	11609.2484	LTO
23.47879589	0.002	11739.3979	LHS
23.64398572	0.002	11821.9929	RTO
23.9843769	0.002	11992.1885	RHS
24.12453797	0.002	12062.269	LTO
24.46993491	0.002	12234.9675	LHS
24.62010748	0.002	12310.0537	RTO
24.86038361	0.002	12430.1918	RHS
25.10566549	0.002	12552.8327	LTO
25.38098188	0.002	12690.4909	LHS
25.48610269	0.002	12743.0513	RTO
25.77143059	0.002	12885.7153	RHS
26.01671246	0.002	13008.3562	LTO
26.32706913	0.002	13163.5346	LHS
26.52229348	0.002	13261.1467	RTO
26.77758686	0.002	13388.7934	RHS
26.97781697	0.002	13488.9085	LTO
27.25313336	0.002	13626.5667	LHS
27.4283347	0.002	13714.1674	RTO
27.76872588	0.002	13884.3629	RHS
27.93892147	0.002	13969.4607	LTO
28.2743069	0.002	14137.1534	LHS
28.47954275	0.002	14239.7714	RTO
28.71981888	0.002	14359.9094	RHS
28.89502022	0.002	14447.5101	LTO
