onset	duration	sample	value
-0.001	11368.404	-0.5	boundary
0.3580383142	0.002	179.0192	LHS
0.6182375479	0.002	309.1188	RTO
1.088597701	0.002	544.2989	RHS
1.368812261	0.002	684.4061	LTO
1.879355705	0.002	939.6779	LHS
2.129691275	0.002	1064.8456	RTO
2.595315436	0.002	1297.6577	RHS
2.850657718	0.002	1425.3289	LTO
3.296255034	0.002	1648.1275	LHS
3.581637584	0.002	1790.8188	RTO
4.067288591	0.002	2033.6443	RHS
4.292590604	0.002	2146.2953	LTO
4.768228188	0.002	2384.1141	LHS
4.999457871	0.002	2499.7289	spare-T  1
4.999457871	0	2499.7289	TrialStart
5.008550336	0.002	2504.2752	RTO
5.494201342	0.002	2747.1007	RHS
5.744536913	0.002	2872.2685	LTO
6.185127517	0.002	3092.5638	LHS
6.44547651	0.002	3222.7383	RTO
6.870993301	0.002	3435.4967	RHS
7.115946411	0.002	3557.9732	LTO
7.555862201	0.002	3777.9311	LHS
7.805814354	0.002	3902.9072	RTO
8.290721531	0.002	4145.3608	RHS
8.495682297	0.002	4247.8411	LTO
8.955594258	0.002	4477.7971	LHS
9.195548325	0.002	4597.7742	RTO
9.650461244	0.002	4825.2306	RHS
9.900413397	0.002	4950.2067	LTO
10.34032919	0.002	5170.1646	LHS
10.57028517	0.002	5285.1426	RTO
11.02019904	0.002	5510.0995	RHS
11.27515024	0.002	5637.5751	LTO
11.76505646	0.002	5882.5282	LHS
11.9900134	0.002	5995.0067	RTO
12.43478469	0.002	6217.3923	RHS
12.69963254	0.002	6349.8163	LTO
13.1044	0.002	6552.2	LHS
13.32927081	0.002	6664.6354	RTO
13.78400957	0.002	6892.0048	RHS
14.01387751	0.002	7006.9388	LTO
14.46361914	0.002	7231.8096	LHS
14.70348134	0.002	7351.7407	RTO
15.17820861	0.002	7589.1043	RHS
15.41307368	0.002	7706.5368	LTO
15.86281531	0.002	7931.4077	LHS
16.10767464	0.002	8053.8373	RTO
16.55741627	0.002	8278.7081	RHS
16.82726124	0.002	8413.6306	LTO
17.26201148	0.002	8631.0057	LHS
17.54659465	0.002	8773.2973	RTO
18.01587572	0.002	9007.9379	RHS
18.27547801	0.002	9137.739	LTO
18.72978203	0.002	9364.891	LHS
19.00436138	0.002	9502.1807	RTO
19.47364245	0.002	9736.8212	RHS
19.72825239	0.002	9864.1262	LTO
20.17756405	0.002	10088.782	LHS
20.40221989	0.002	10201.1099	RTO
20.85153155	0.002	10425.7658	RHS
21.09116444	0.002	10545.5822	LTO
21.53548375	0.002	10767.7419	LHS
21.80507075	0.002	10902.5354	RTO
22.21444359	0.002	11107.2218	RHS
22.46406119	0.002	11232.0306	LTO
22.89968169	0.002	11449.8408	LHS
23.17014765	0.002	11585.0738	RTO
23.60589837	0.002	11802.9492	RHS
23.8713557	0.002	11935.6779	LTO
24.30710642	0.002	12153.5532	LHS
24.54251198	0.002	12271.256	RTO
25.02834899	0.002	12514.1745	RHS
25.27878044	0.002	12639.3902	LTO
25.73456568	0.002	12867.2828	LHS
26.00002301	0.002	13000.0115	RTO
26.46081687	0.002	13230.4084	RHS
26.70623969	0.002	13353.1198	LTO
27.13698178	0.002	13568.4909	LHS
27.36237009	0.002	13681.185	RTO
27.79785291	0.002	13898.9265	RHS
28.05730659	0.002	14028.6533	LTO
28.48640306	0.002	14243.2015	LHS
28.73088825	0.002	14365.4441	RTO
29.19491117	0.002	14597.4556	RHS
29.44438586	0.002	14722.1929	LTO
29.90341929	0.002	14951.7096	LHS
30.16287297	0.002	15081.4365	RTO
30.60194842	0.002	15300.9742	RHS
30.81649666	0.002	15408.2483	LTO
31.27054059	0.002	15635.2703	LHS
31.5050468	0.002	15752.5234	RTO
31.94911175	0.002	15974.5559	RHS
32.16365998	0.002	16081.83	LTO
32.61271442	0.002	16306.3572	LHS
32.83724164	0.002	16418.6208	RTO
33.26610526	0.002	16633.0526	RHS
33.50168421	0.002	16750.8421	LTO
33.94339474	0.002	16971.6974	LHS
34.20351316	0.002	17101.7566	RTO
34.65994737	0.002	17329.9737	RHS
34.85135526	0.002	17425.6776	LTO
35.30778947	0.002	17653.8947	LHS
35.55318421	0.002	17776.5921	RTO
35.98998684	0.002	17994.9934	RHS
36.15685526	0.002	18078.4276	LTO
36.59856579	0.002	18299.2829	LHS
36.82923684	0.002	18414.6184	RTO
37.25622368	0.002	18628.1118	RHS
37.46235526	0.002	18731.1776	LTO
37.90406579	0.002	18952.0329	LHS
38.07093421	0	19035.4671	LS-Sync
38.13473684	0.002	19067.3684	RTO
38.59192	0.002	19295.96	RHS
38.84674927	0.002	19423.3746	LTO
39.2901522	0.002	19645.0761	LHS
39.53478829	0.002	19767.3941	RTO
39.97819122	0.002	19989.0956	RHS
40.23811707	0.002	20119.0585	LTO
40.65094049	0.002	20325.4702	LHS
40.87519024	0.002	20437.5951	RTO
41.34917268	0.002	20674.5863	RHS
41.57342244	0.002	20786.7112	LTO
42.02192195	0.002	21010.961	LHS
42.26146146	0.002	21130.7307	RTO
42.69467122	0.002	21347.3356	RHS
42.91892098	0.002	21459.4605	LTO
43.38780683	0.002	21693.9034	LHS
43.6633557	0.002	21831.6779	RTO
44.06889933	0.002	22034.4497	RHS
44.26916779	0.002	22134.5839	LTO
44.67971812	0.002	22339.8591	LHS
44.96009396	0.002	22480.047	RTO
45.39567785	0.002	22697.8389	RHS
45.65102013	0.002	22825.5101	LTO
46.04655034	0.002	23023.2752	LHS
46.31691275	0.002	23158.4564	RTO
46.73747651	0.002	23368.7383	RHS
46.95777181	0.002	23478.8859	LTO
47.39836242	0.002	23699.1812	LHS
47.66872483	0.002	23834.3624	RTO
48.11432215	0.002	24057.1611	RHS
48.3145906	0.002	24157.2953	LTO
48.76005364	0.002	24380.0268	LHS
49.02015326	0.002	24510.0766	RTO
49.46032184	0.002	24730.1609	RHS
49.71541954	0.002	24857.7098	LTO
50.16559195	0.002	25082.796	LHS
50.36066667	0.002	25180.3333	RTO
50.82084291	0.002	25410.4215	RHS
51.08094253	0.002	25540.4713	LTO
51.5161092	0.002	25758.0546	LHS
51.80622031	0.002	25903.1102	RTO
52.21637739	0.002	26108.1887	RHS
52.48648084	0.002	26243.2404	LTO
52.87663027	0.002	26438.3151	LHS
53.09671456	0.002	26548.3573	RTO
53.53188123	0.002	26765.9406	RHS
53.75196552	0.002	26875.9828	LTO
54.201587	0.002	27100.7935	LHS
54.40635182	0.002	27203.1759	RTO
54.8508413	0.002	27425.4207	RHS
55.07558317	0.002	27537.7916	LTO
55.53505545	0.002	27767.5277	LHS
55.75979732	0.002	27879.8987	RTO
56.19929254	0.002	28099.6463	RHS
56.454	0.002	28227	LTO
56.88350669	0.002	28441.7533	LHS
57.12323136	0.002	28561.6157	RTO
57.56272658	0.002	28781.3633	RHS
57.8773652	0.002	28938.6826	LTO
58.24194646	0.002	29120.9732	LHS
58.48666539	0.002	29243.3327	RTO
58.8862065	0.002	29443.1033	RHS
59.09601149	0.002	29548.0057	LTO
59.59120115	0.002	29795.6006	LHS
59.81128544	0.002	29905.6427	RTO
60.29146935	0.002	30145.7347	RHS
60.51655556	0.002	30258.2778	LTO
61.0067433	0.002	30503.3716	LHS
61.25183716	0.002	30625.9186	RTO
61.65699234	0.002	30828.4962	RHS
61.88207854	0.002	30941.0393	LTO
62.3472567	0.002	31173.6284	LHS
62.59735249	0.002	31298.6762	RTO
63.02251533	0.002	31511.2577	RHS
63.27261111	0.002	31636.3056	LTO
63.6827682	0.002	31841.3841	LHS
