onset	duration	sample	value
-0.001	6417.406	-0.5	boundary
0.1523799813	0.002	76.19	LHS
0.3775522807	0.002	188.7761	RTO
0.6877896709	0.002	343.8948	RHS
0.7728547618	0.002	386.4274	spare-M  1
0.8730850371	0.002	436.5425	LTO
1.274006139	0.002	637.0031	LHS
1.529593341	0.002	764.7967	RTO
1.830284167	0.002	915.1421	RHS
2.045779259	0.002	1022.8896	LTO
2.376539168	0.002	1188.2696	LHS
2.657183939	0.002	1328.592	RTO
2.997966875	0.002	1498.9834	RHS
3.188404398	0.002	1594.2022	LTO
3.534198848	0.002	1767.0994	LHS
3.839901188	0.002	1919.9506	RTO
4.165649583	0.002	2082.8248	RHS
4.32100651	0.002	2160.5033	LTO
4.721927611	0.002	2360.9638	LHS
4.987537841	0.002	2493.7689	RTO
5	0	2500	TrialStart
5.368412887	0.002	2684.2064	RHS
5.573884952	0.002	2786.9425	LTO
5.94473697	0.002	2972.3685	LHS
5.994852108	0.002	2997.4261	spare-M  1
6.169651254	0.002	3084.8256	RTO
6.544220854	0.002	3272.1104	RHS
6.724014261	0.002	3362.0071	LTO
7.098583861	0.002	3549.2919	LHS
7.393245279	0.002	3696.6226	RTO
7.692900958	0.002	3846.4505	RHS
7.832740275	0.002	3916.3701	LTO
8.157367261	0.002	4078.6836	LHS
8.397091805	0.002	4198.5459	RTO
8.761672882	0.002	4380.8364	RHS
9.001397425	0.002	4500.6987	LTO
9.301053105	0.002	4650.5266	LHS
9.585726	0.002	4792.863	RTO
9.88538168	0.002	4942.6908	RHS
10.08015787	0.002	5040.0789	LTO
10.42975616	0.002	5214.8781	LHS
10.68945775	0.002	5344.7289	RTO
11.04405031	0.002	5522.0252	RHS
11.21884945	0.002	5609.4247	spare-M  1
11.26395308	0.002	5631.9765	LTO
11.5646439	0.002	5782.322	LHS
11.82524262	0.002	5912.6213	RTO
12.17604858	0.002	6088.0243	RHS
12.32138248	0.002	6160.6912	LTO
12.6922345	0.002	6346.1173	LHS
12.94281019	0.002	6471.4051	RTO
13.33871978	0.002	6669.3599	RHS
13.5642379	0.002	6782.1189	LTO
13.85991721	0.002	6929.9586	LHS
14.05536625	0.002	7027.6831	RTO
14.40617221	0.002	7203.0861	RHS
14.54148308	0.002	7270.7415	LTO
14.89730056	0.002	7448.6503	LHS
15.0927496	0.002	7546.3748	RTO
15.4936707	0.002	7746.8353	RHS
15.69413125	0.002	7847.0656	LTO
15.98981056	0.002	7994.9053	LHS
16.19528262	0.002	8097.6413	RTO
16.4408468	0.002	8220.4234	spare-M  1
16.53070909	0.002	8265.3545	RHS
16.71043366	0.002	8355.2168	LTO
17.01995932	0.002	8509.9797	LHS
17.24960738	0.002	8624.8037	RTO
17.59407948	0.002	8797.0397	RHS
17.77879641	0.002	8889.3982	LTO
18.13325321	0.002	9066.6266	LHS
18.40284007	0.002	9201.42	RTO
18.74231982	0.002	9371.1599	RHS
18.91205969	0.002	9456.0298	LTO
19.22158535	0.002	9610.7927	LHS
19.46121811	0.002	9730.6091	RTO
19.80569021	0.002	9902.8451	RHS
19.95046834	0.002	9975.2342	LTO
20.34985629	0.002	10174.9281	LHS
20.59947375	0.002	10299.7369	RTO
20.94394585	0.002	10471.9729	RHS
21.18357861	0.002	10591.7893	LTO
21.45815783	0.002	10729.0789	LHS
21.66284415	0.002	10831.4221	spare-M  1
21.71286328	0.002	10856.4316	RTO
22.02798381	0.002	11013.9919	RHS
22.20305077	0.002	11101.5254	LTO
22.50816747	0.002	11254.0837	LHS
22.79327652	0.002	11396.6383	RTO
23.08338749	0.002	11541.6937	RHS
23.23844679	0.002	11619.2234	LTO
23.59858454	0.002	11799.2923	LHS
23.86368594	0.002	11931.843	RTO
24.17880647	0.002	12089.4032	RHS
24.33386578	0.002	12166.9329	LTO
24.6839997	0.002	12341.9998	LHS
24.95410301	0.002	12477.0515	RTO
25.23921206	0.002	12619.606	RHS
25.38926946	0.002	12694.6347	LTO
25.7844206	0.002	12892.2103	LHS
26.06452773	0.002	13032.2639	RTO
26.34463487	0.002	13172.3174	RHS
26.48468844	0.002	13242.3442	LTO
26.88484149	0.002	13442.4207	spare-M  1
26.88484149	0.002	13442.4207	LHS
27.11957177	0.002	13559.7859	RTO
27.44419876	0.002	13722.0994	RHS
27.60401512	0.002	13802.0076	LTO
27.89867654	0.002	13949.3383	LHS
28.11842404	0.002	14059.212	RTO
28.43805676	0.002	14219.0284	RHS
28.62284443	0.002	14311.4222	LTO
28.88754028	0.002	14443.7701	LHS
29.15223613	0.002	14576.1181	RTO
29.45189181	0.002	14725.9459	RHS
29.6216967	0.002	14810.8483	LTO
29.91136385	0.002	14955.6819	LHS
30.16107692	0.002	15080.5385	RTO
30.50068669	0.002	15250.3433	RHS
30.70545141	0.002	15352.7257	LTO
30.96515299	0.002	15482.5765	LHS
31.19988328	0.002	15599.9416	RTO
31.519516	0.002	15759.758	RHS
31.70929793	0.002	15854.649	LTO
32.00395935	0.002	16001.9797	LHS
32.10883884	0.002	16054.4194	spare-M  1
32.18905377	0.002	16094.5269	RTO
