onset	duration	sample	value
-0.001	11682.01	-0.5	boundary
0.5357973424	0.002	267.8987	RHS
0.9613087868	0.002	480.6544	LTO
1.717217353	0.002	858.6087	LHS
1.967518202	0.002	983.7591	RTO
2.708408717	0.002	1354.2044	RHS
3.059010665	0.002	1529.5053	LTO
3.805655338	0.002	1902.8277	LHS
4.16645008	0.002	2083.225	RTO
4.812873991	0.002	2406.437	RHS
5	0	2500	TrialStart
5.133580428	0.002	2566.7902	LTO
5.905280291	0.002	2952.6401	LHS
6.24603088	0.002	3123.0154	RTO
6.912498943	0.002	3456.2495	RHS
7.288326799	0.002	3644.1634	LTO
8.074139409	0.002	4037.0697	LHS
8.488145808	0.002	4244.0729	RTO
9.031840959	0.002	4515.9205	RHS
9.4358713	0.002	4717.9356	LTO
10.2289679	0.002	5114.4839	LHS
10.56316583	0.002	5281.5829	RTO
11.10686098	0.002	5553.4305	RHS
11.66053219	0.002	5830.2661	LTO
12.36883229	0.002	6184.4161	LHS
12.69305417	0.002	6346.5271	RTO
13.27390875	0.002	6636.9544	RHS
13.63004967	0.002	6815.0248	LTO
14.30220295	0.002	7151.1015	LHS
14.63326352	0.002	7316.6318	RTO
15.2552561	0.002	7627.6281	RHS
15.5813006	0.002	7790.6503	LTO
16.32367885	0.002	8161.8394	LHS
16.63969121	0.002	8319.8456	RTO
17.31686056	0.002	8658.4303	RHS
17.63788899	0.002	8818.9445	LTO
18.30739907	0.002	9153.6995	LHS
18.6314912	0.002	9315.7456	RTO
19.42925647	0.002	9714.6282	RHS
19.8281391	0.002	9914.0695	LTO
20.45637924	0.002	10228.1896	LHS
20.83531774	0.002	10417.6589	RTO
21.47851599	0.002	10739.258	RHS
22.03695167	0.002	11018.4758	LTO
22.7848566	0.002	11392.4283	LHS
23.11994	0.002	11559.97	RTO
23.8858606	0.002	11942.9303	RHS
24.33640213	0.002	12168.2011	LTO
25.12735281	0.002	12563.6764	LHS
25.42771383	0.002	12713.8569	RTO
26.2436946	0.002	13121.8473	RHS
26.60913384	0.002	13304.5669	LTO
27.44513868	0.002	13722.5693	LHS
27.8055719	0.002	13902.786	RTO
28.54871063	0.002	14274.3553	RHS
28.90271896	0.002	14451.3595	LTO
29.65560993	0.002	14827.805	LHS
29.97471604	0.002	14987.358	RTO
30.79741146	0.002	15398.7057	RHS
31.24615442	0.002	15623.0772	LTO
31.97910126	0.002	15989.5506	LHS
32.28324926	0.002	16141.6246	RTO
33.09741437	0.002	16548.7072	RHS
33.47361956	0.002	16736.8098	LTO
34.21098174	0.002	17105.4909	LHS
34.53702624	0.002	17268.5131	RTO
35.24930807	0.002	17624.654	RHS
35.5703365	0.002	17785.1683	LTO
36.3377951	0.002	18168.8975	LHS
36.6638396	0.002	18331.9198	RTO
37.42126605	0.002	18710.633	RHS
37.81753552	0.002	18908.7678	LTO
38.57988302	0.002	19289.9415	LHS
38.93353841	0.002	19466.7692	RTO
39.70560299	0.002	19852.8015	RHS
40.06423943	0.002	20032.1197	LTO
40.80143658	0.002	20400.7183	LHS
41.16007302	0.002	20580.0365	RTO
41.8922891	0.002	20946.1446	RHS
42.31567935	0.002	21157.8397	LTO
43.07414968	0.002	21537.0748	LHS
43.40487819	0.002	21702.4391	RTO
44.20664428	0.002	22103.3221	RHS
44.55741695	0.002	22278.7085	LTO
45.26397332	0.002	22631.9867	LHS
45.59470183	0.002	22797.3509	RTO
46.36640169	0.002	23183.2008	RHS
46.74222955	0.002	23371.1148	LTO
47.48386318	0.002	23741.9316	LHS
47.82962481	0.002	23914.8124	RTO
48.67065073	0.002	24335.3254	RHS
48.95098768	0.002	24475.4938	LTO
49.67185412	0.002	24835.9271	LHS
50.0473054	0.002	25023.6527	RTO
50.67305752	0.002	25336.5288	RHS
51.03349075	0.002	25516.7454	LTO
51.82944745	0.002	25914.7237	LHS
52.15483855	0.002	26077.4193	RTO
52.86564291	0.002	26432.8215	RHS
53.18538722	0.002	26592.6936	LTO
54.04969608	0.002	27024.848	LHS
54.41940045	0.002	27209.7002	RTO
55.18878521	0.002	27594.3926	RHS
55.54350156	0.002	27771.7508	LTO
56.35785037	0.002	28178.9252	LHS
56.66760268	0.002	28333.8013	RTO
57.43698744	0.002	28718.4937	RHS
57.76672377	0.002	28883.3619	LTO
58.43799241	0.002	29218.9962	LHS
58.89900791	0.002	29449.504	RTO
59.61057532	0.002	29805.2877	RHS
60.04152459	0.002	30020.7623	LTO
60.86333484	0.002	30431.6674	LHS
61.20909646	0.002	30604.5482	RTO
62.01086255	0.002	31005.4313	RHS
62.43680079	0.002	31218.4004	LTO
63.15676494	0.002	31578.3825	LHS
63.49082914	0.002	31745.4146	RTO
64.43318936	0.002	32216.5947	RHS
64.84703009	0.002	32423.515	LTO
65.56501882	0.002	32782.5094	LHS
65.85420873	0.002	32927.1044	RTO
66.56721143	0.002	33283.6057	RHS
66.88631754	0.002	33443.1588	LTO
67.45971132	0.002	33729.8557	LHS
67.81870569	0.002	33909.3528	RTO
68.55026724	0.002	34275.1336	RHS
68.91607302	0.002	34458.0365	LTO
69.6376625	0.002	34818.8313	LHS
69.96839101	0.002	34984.1955	RTO
70.7701571	0.002	35385.0786	RHS
71.09587458	0.002	35547.9373	LTO
71.77236472	0.002	35886.1824	LHS
72.11812635	0.002	36059.0632	RTO
72.93437544	0.002	36467.1877	RHS
73.30334187	0.002	36651.6709	LTO
74.01634458	0.002	37008.1723	LHS
74.36536688	0.002	37182.6834	RTO
75.03848132	0.002	37519.2407	RHS
75.37753156	0.002	37688.7658	LTO
76.26504541	0.002	38132.5227	LHS
76.59412358	0.002	38297.0618	RTO
77.34202852	0.002	38671.0143	RHS
77.71099495	0.002	38855.4975	LTO
78.50788916	0.002	39253.9446	LHS
78.89412649	0.002	39447.0632	RTO
79.59637618	0.002	39798.1881	RHS
79.96756531	0.002	39983.7827	LTO
80.81026494	0.002	40405.1325	LHS
81.14132551	0.002	40570.6628	RTO
81.87367161	0.002	40936.8358	RHS
82.20473218	0.002	41102.3661	LTO
82.94620024	0.002	41473.1001	LHS
83.30981775	0.002	41654.9089	RTO
84.05697701	0.002	42028.4885	RHS
84.40067028	0.002	42200.3351	LTO
85.11296211	0.002	42556.4811	LHS
85.43175006	0.002	42715.875	RTO
86.22373888	0.002	43111.8694	RHS
86.65709126	0.002	43328.5456	LTO
87.44409902	0.002	43722.0495	LHS
87.79277334	0.002	43896.3867	RTO
88.59520439	0.002	44297.6022	RHS
88.93128103	0.002	44465.6405	LTO
89.69372355	0.002	44846.8618	LHS
90.02980019	0.002	45014.9001	RTO
90.85745162	0.002	45428.7258	RHS
91.19854432	0.002	45599.2722	LTO
91.90581009	0.002	45952.905	LHS
92.18670996	0.002	46093.355	RTO
93.00794502	0.002	46503.9725	RHS
93.35163828	0.002	46675.8191	LTO
94.13864604	0.002	47069.323	LHS
94.44249081	0.002	47221.2454	RTO
95.24444176	0.002	47622.2209	RHS
95.59809714	0.002	47799.0486	LTO
96.30042685	0.002	48150.2134	LHS
96.61423374	0.002	48307.1169	RTO
97.41618469	0.002	48708.0923	RHS
97.81975571	0.002	48909.8779	LTO
98.61731072	0.002	49308.6554	LHS
98.97345164	0.002	49486.7258	RTO
100.0468905	0.002	50023.4452	RHS
100.4431599	0.002	50221.58	LTO
101.0400722	0.002	50520.0361	LHS
101.3611006	0.002	50680.5503	RTO
102.188752	0.002	51094.376	RHS
102.5649572	0.002	51282.4786	LTO
103.3513743	0.002	51675.6872	LHS
103.7017955	0.002	51850.8978	RTO
104.4076439	0.002	52203.822	RHS
104.8031193	0.002	52401.5596	LTO
105.5189797	0.002	52759.4898	LHS
105.894431	0.002	52947.2155	RTO
106.6503395	0.002	53325.1698	RHS
107.0508209	0.002	53525.4104	LTO
107.8266635	0.002	53913.3318	LHS
108.0762142	0.002	54038.1071	RTO
108.8348483	0.002	54417.4242	RHS
109.1592642	0.002	54579.6321	LTO
110.0376827	0.002	55018.8413	LHS
110.3720806	0.002	55186.0403	RTO
111.1257237	0.002	55562.8619	RHS
111.4601217	0.002	55730.0608	LTO
112.2037827	0.002	56101.8914	LHS
112.5731178	0.002	56286.5589	RTO
113.2787931	0.002	56639.3965	RHS
113.6846872	0.002	56842.3436	LTO
114.4162987	0.002	57208.1494	LHS
114.6868948	0.002	57343.4474	RTO
115.4936719	0.002	57746.836	RHS
115.9546874	0.002	57977.3437	LTO
116.7364093	0.002	58368.2047	LHS
117.0370716	0.002	58518.5358	RTO
117.8086715	0.002	58904.3357	RHS
118.2624005	0.002	59131.2002	LTO
118.955459	0.002	59477.7295	LHS
119.1798305	0.002	59589.9153	RTO
120.0424142	0.002	60021.2071	RHS
120.4961432	0.002	60248.0716	LTO
121.2839364	0.002	60641.9682	LHS
121.6030425	0.002	60801.5213	RTO
122.5055145	0.002	61252.7572	RHS
122.834893	0.002	61417.4465	LTO
123.4769499	0.002	61738.4749	LHS
123.8381068	0.002	61919.0534	RTO
124.5905172	0.002	62295.2586	RHS
124.8864653	0.002	62443.2327	LTO
125.7040846	0.002	62852.0423	LHS
126.1254344	0.002	63062.7172	RTO
126.892893	0.002	63446.4465	RHS
127.2841464	0.002	63642.0732	LTO
128.049983	0.002	64024.9915	LHS
128.4638238	0.002	64231.9119	RTO
129.2167147	0.002	64608.3574	RHS
129.5956532	0.002	64797.8266	LTO
130.3036699	0.002	65151.835	LHS
130.6626643	0.002	65331.3321	RTO
131.4105692	0.002	65705.2846	RHS
131.6997591	0.002	65849.8796	LTO
132.442678	0.002	66221.339	LHS
132.8419511	0.002	66420.9756	RTO
133.6244579	0.002	66812.229	RHS
133.9705667	0.002	66985.2833	LTO
134.7631056	0.002	67381.5528	LHS
135.1192465	0.002	67559.6233	RTO
135.9117855	0.002	67955.8927	RHS
136.2578943	0.002	68128.9471	LTO
137.0855457	0.002	68542.7728	LHS
137.3764777	0.002	68688.2389	RTO
138.2060995	0.002	69103.0498	RHS
138.5946224	0.002	69297.3112	LTO
139.3268384	0.002	69663.4192	LHS
139.6007968	0.002	69800.3984	RTO
140.3479561	0.002	70173.9781	RHS
140.74146	0.002	70370.73	LTO
141.2644715	0.002	70632.2357	LHS
141.5633352	0.002	70781.6676	RTO
142.2955513	0.002	71147.7756	RHS
142.6292824	0.002	71314.6412	LTO
143.3249774	0.002	71662.4887	LHS
143.6907831	0.002	71845.3916	RTO
144.4875382	0.002	72243.7691	RHS
144.9084654	0.002	72454.2327	LTO
145.50979	0.002	72754.895	LHS
145.8154633	0.002	72907.7316	RTO
146.4719093	0.002	73235.9546	RHS
146.8126599	0.002	73406.3299	LTO
147.5242273	0.002	73762.1136	LHS
147.9592124	0.002	73979.6062	RTO
148.6971452	0.002	74348.5726	RHS
149.0212374	0.002	74510.6187	LTO
149.7741283	0.002	74887.0642	LHS
150.1131786	0.002	75056.5893	RTO
150.9009718	0.002	75450.4859	RHS
151.1951477	0.002	75597.5739	LTO
152.0178431	0.002	76008.9216	LHS
152.5014883	0.002	76250.7442	RTO
153.2919321	0.002	76645.966	RHS
153.5976054	0.002	76798.8027	LTO
154.4895702	0.002	77244.7851	LHS
154.8052656	0.002	77402.6328	RTO
155.7022414	0.002	77851.1207	RHS
156.0880913	0.002	78044.0457	LTO
156.8497691	0.002	78424.8846	LHS
157.1754866	0.002	78587.7433	RTO
158.1057893	0.002	79052.8947	RHS
158.4398535	0.002	79219.9268	LTO
159.2426048	0.002	79621.3024	LHS
159.5866411	0.002	79793.3205	RTO
160.3744343	0.002	80187.2171	RHS
160.793261	0.002	80396.6305	LTO
161.4913056	0.002	80745.6528	LHS
161.8104117	0.002	80905.2059	RTO
162.6430792	0.002	81321.5396	RHS
163.0033239	0.002	81501.6619	LTO
163.8602114	0.002	81930.1057	LHS
164.205973	0.002	82102.9865	RTO
165.0428164	0.002	82521.4082	RHS
165.4286663	0.002	82714.3331	LTO
166.1452447	0.002	83072.6224	LHS
166.4709622	0.002	83235.4811	RTO
167.3529049	0.002	83676.4525	RHS
168.1195937	0.002	84059.7969	LTO
