onset	duration	sample	value
-0.001	6195.558	-0.5	boundary
0.09159092497	0.002	45.7955	RHS
0.2473062304	0.002	123.6531	LTO
0.6290598826	0.002	314.5299	LHS
0.9103520473	0.002	455.176	RTO
1.382521038	0.002	691.2605	RHS
1.593490162	0.002	796.7451	LTO
1.995336111	0.002	997.6681	LHS
2.32685902	0.002	1163.4295	RTO
2.673451151	0.002	1336.7256	RHS
2.834189531	0.002	1417.0948	LTO
3.195850886	0.002	1597.9254	LHS
3.220966258	0.002	1610.4831	spare-M  1
3.606408591	0.002	1803.2043	RTO
3.966822201	0.002	1983.4111	RHS
4.106983049	0.002	2053.4915	LTO
4.467396659	0.002	2233.6983	LHS
4.762735589	0.002	2381.3678	RTO
5	0	2500	TrialStart
5.133160688	0.002	2566.5803	RHS
5.313367493	0.002	2656.6837	LTO
5.663769614	0.002	2831.8848	LHS
5.939085566	0.002	2969.5428	RTO
6.284481942	0.002	3142.241	RHS
6.464688747	0.002	3232.3444	LTO
6.840119591	0.002	3420.0598	LHS
7.100418309	0.002	3550.2092	RTO
7.445814685	0.002	3722.9073	RHS
7.641038724	0.002	3820.5194	LTO
8.036492546	0.002	4018.2463	LHS
8.366871689	0.002	4183.4358	RTO
8.446963602	0.002	4223.4818	spare-M  1
8.646925223	0.002	4323.4626	RHS
8.80689452	0.002	4403.4473	LTO
9.131832153	0.002	4565.9161	LHS
9.441772666	0.002	4720.8863	RTO
9.711720854	0.002	4855.8604	RHS
9.906683434	0.002	4953.3417	LTO
10.22162299	0.002	5110.8115	LHS
10.51156734	0.002	5255.7837	RTO
10.83650497	0.002	5418.2525	RHS
11.06146179	0.002	5530.7309	LTO
11.35640519	0.002	5678.2026	LHS
11.61635529	0.002	5808.1776	RTO
11.94629197	0.002	5973.146	RHS
12.1112603	0.002	6055.6302	LTO
12.46119314	0.002	6230.5966	LHS
12.78113173	0.002	6390.5659	RTO
13.05107992	0.002	6525.54	RHS
13.22604634	0.002	6613.0232	LTO
13.5659811	0.002	6782.9905	LHS
13.67096095	0.002	6835.4805	spare-M  1
13.89091873	0.002	6945.4594	RTO
14.09587939	0.002	7047.9397	RHS
14.31083813	0.002	7155.4191	LTO
14.62077865	0.002	7310.3893	LHS
14.90072492	0.002	7450.3625	RTO
15.21066543	0.002	7605.3327	RHS
15.39063089	0.002	7695.3154	LTO
15.72056756	0.002	7860.2838	LHS
15.99051575	0.002	7995.2579	RTO
16.28545914	0.002	8142.7296	RHS
16.48542076	0.002	8242.7104	LTO
16.87034688	0.002	8435.1734	LHS
17.2052826	0.002	8602.6413	RTO
17.45523462	0.002	8727.6173	RHS
17.625202	0.002	8812.601	LTO
18.00013004	0.002	9000.065	LHS
18.28007631	0.002	9140.0382	RTO
18.56502162	0.002	9282.5108	RHS
18.68499859	0.002	9342.4993	LTO
18.89495829	0.002	9447.4791	spare-M  1
19.18961971	0.002	9594.8099	LHS
19.42934425	0.002	9714.6721	RTO
19.70402863	0.002	9852.0143	RHS
19.90879334	0.002	9954.3967	LTO
20.2234318	0.002	10111.7159	LHS
20.48812765	0.002	10244.0638	RTO
20.75781777	0.002	10378.9089	RHS
20.96258248	0.002	10481.2912	LTO
21.30718651	0.002	10653.5933	LHS
21.60184793	0.002	10800.924	RTO
21.89151509	0.002	10945.7575	RHS
22.06631423	0.002	11033.1571	LTO
22.47584366	0.002	11237.9218	LHS
22.79048213	0.002	11395.2411	RTO
23.04518945	0.002	11522.5947	RHS
23.17004599	0.002	11585.023	LTO
23.58456968	0.002	11792.2848	LHS
23.82429422	0.002	11912.1471	RTO
24.11895564	0.002	12059.4778	spare-M  1
24.12894416	0.002	12064.4721	RHS
24.28376626	0.002	12141.8831	LTO
24.63835882	0.002	12319.1794	LHS
24.97297432	0.002	12486.4872	RTO
25.23767017	0.002	12618.8351	RHS
25.41246932	0.002	12706.2347	LTO
25.79203318	0.002	12896.0166	LHS
26.09668312	0.002	13048.3416	RTO
26.37636176	0.002	13188.1809	RHS
26.54117238	0.002	13270.5862	LTO
26.90575346	0.002	13452.8767	LHS
27.22538618	0.002	13612.6931	RTO
27.55500743	0.002	13777.5037	RHS
27.7647664	0.002	13882.3832	LTO
28.09938191	0.002	14049.691	LHS
28.36907202	0.002	14184.536	RTO
28.67372197	0.002	14336.861	RHS
28.82854407	0.002	14414.272	LTO
29.21809645	0.002	14609.0482	LHS
29.34295298	0.002	14671.4765	spare-M  1
29.47342746	0.002	14736.7137	RTO
29.76950416	0.002	14884.7521	RHS
29.94514288	0.002	14972.5714	LTO
30.35162106	0.002	15175.8105	LHS
30.57744227	0.002	15288.7211	RTO
30.92871971	0.002	15464.3599	RHS
31.08428543	0.002	15542.1427	LTO
31.47069061	0.002	15735.3453	LHS
31.75673081	0.002	15878.3654	RTO
32.05782576	0.002	16028.9129	RHS
32.19833674	0.002	16099.1684	LTO
32.59477842	0.002	16297.3892	LHS
32.78547189	0.002	16392.7359	RTO
33.07653034	0.002	16538.2652	RHS
33.22205956	0.002	16611.0298	LTO
33.58839175	0.002	16794.1959	LHS
33.81923121	0.002	16909.6156	RTO
34.15043565	0.002	17075.2178	RHS
34.35618386	0.002	17178.0919	LTO
34.56695033	0.002	17283.4752	spare-M  1
34.65679555	0.002	17328.3978	LHS
34.89638283	0.002	17448.1914	RTO
35.21084112	0.002	17605.4206	RHS
35.36557456	0.002	17682.7873	LTO
35.79483509	0.002	17897.4175	LHS
36.1592074	0.002	18079.6037	RTO
36.42375168	0.002	18211.8758	RHS
36.56850232	0.002	18284.2512	LTO
36.96282304	0.002	18481.4115	LHS
37.24733292	0.002	18623.6665	RTO
37.57676542	0.002	18788.3827	RHS
37.72650746	0.002	18863.2537	LTO
38.08089697	0.002	19040.4485	LHS
38.34544124	0.002	19172.7206	RTO
38.69983075	0.002	19349.9154	RHS
38.91446101	0.002	19457.2305	LTO
39.25387631	0.002	19626.9382	LHS
39.47349798	0.002	19736.749	RTO
39.79294767	0.002	19896.4738	spare-M  1
39.82297065	0.002	19911.4853	RHS
39.988097	0.002	19994.0485	LTO
40.39340714	0.002	20196.7036	LHS
40.63359092	0.002	20316.7955	RTO
40.98886277	0.002	20494.4314	RHS
41.19902359	0.002	20599.5118	LTO
41.49424949	0.002	20747.1247	LHS
41.69440264	0.002	20847.2013	RTO
42.04967449	0.002	21024.8372	RHS
42.23481616	0.002	21117.4081	LTO
42.58008036	0.002	21290.0402	LHS
42.8652986	0.002	21432.6493	RTO
43.13050153	0.002	21565.2508	RHS
43.34066234	0.002	21670.3312	LTO
43.64589591	0.002	21822.948	LHS
43.86606438	0.002	21933.0322	RTO
44.19631708	0.002	22098.1585	RHS
44.40647789	0.002	22203.2389	LTO
44.71671529	0.002	22358.3576	LHS
45.00693736	0.002	22503.4687	RTO
45.01694502	0.002	22508.4725	spare-M  1
45.27214029	0.002	22636.0701	RHS
45.45227813	0.002	22726.1391	LTO
45.77252318	0.002	22886.2616	LHS
46.0877644	0.002	23043.8822	RTO
46.40800944	0.002	23204.0047	RHS
46.64819323	0.002	23324.0966	LTO
46.96843828	0.002	23484.2191	LHS
47.18360292	0.002	23591.8015	RTO
47.51885945	0.002	23759.4297	RHS
47.66897432	0.002	23834.4872	LTO
47.96420022	0.002	23982.1001	LHS
48.22940316	0.002	24114.7016	RTO
48.57466735	0.002	24287.3337	RHS
48.74479753	0.002	24372.3988	LTO
49.09506555	0.002	24547.5328	LHS
49.33524934	0.002	24667.6247	RTO
49.66550204	0.002	24832.751	RHS
49.86065137	0.002	24930.3257	LTO
50.16588493	0.002	25082.9425	LHS
50.24094236	0.002	25120.4712	spare-M  1
50.395469	0.002	25197.7345	RTO
50.75935431	0.002	25379.6772	RHS
50.98865191	0.002	25494.326	LTO
51.35752195	0.002	25678.761	LHS
51.59180427	0.002	25795.9021	RTO
51.95070485	0.002	25975.3524	RHS
52.13015514	0.002	26065.0776	LTO
52.49404045	0.002	26247.0202	LHS
52.73829224	0.002	26369.1461	RTO
53.1769485	0.002	26588.4743	RHS
53.36636826	0.002	26683.1841	LTO
53.70034518	0.002	26850.1726	LHS
53.95955116	0.002	26979.7756	RTO
54.36331431	0.002	27181.6572	RHS
54.52781041	0.002	27263.9052	LTO
54.95151249	0.002	27475.7562	LHS
55.2655505	0.002	27632.7752	RTO
55.46493971	0.002	27732.4699	spare-M  1
55.65061493	0.002	27825.3075	RHS
55.8111989	0.002	27905.5994	LTO
56.13236684	0.002	28066.1834	LHS
56.32807856	0.002	28164.0393	RTO
56.67433775	0.002	28337.1689	RHS
56.84997647	0.002	28424.9882	LTO
57.2413999	0.002	28620.7	LHS
57.58765909	0.002	28793.8295	RTO
58.00417377	0.002	29002.0869	RHS
58.18483074	0.002	29092.4154	LTO
58.51101693	0.002	29255.5085	LHS
58.89240386	0.002	29446.2019	RTO
59.17844406	0.002	29589.222	RHS
59.40928352	0.002	29704.6418	LTO
59.71037847	0.002	29855.1892	LHS
59.97634568	0.002	29988.1728	RTO
60.39286035	0.002	30196.4302	RHS
60.64377281	0.002	30321.8864	LTO
60.68893705	0.002	30344.4685	spare-M  1
60.91845365	0.002	30459.2268	LHS
61.22780211	0.002	30613.9011	RTO
61.49224515	0.002	30746.1226	RHS
61.66687734	0.002	30833.4387	LTO
61.95127834	0.002	30975.6392	LHS
62.28058476	0.002	31140.2924	RTO
62.58494373	0.002	31292.4719	RHS
62.80947084	0.002	31404.7354	LTO
63.16372472	0.002	31581.8624	LHS
63.42317826	0.002	31711.5891	RTO
63.75747418	0.002	31878.7371	RHS
63.95206433	0.002	31976.0322	LTO
64.28137076	0.002	32140.6854	LHS
64.56577176	0.002	32282.8859	RTO
64.84518327	0.002	32422.5916	RHS
64.99486801	0.002	32497.434	LTO
65.32916392	0.002	32664.582	LHS
65.57364899	0.002	32786.8245	RTO
65.9129344	0.002	32956.4672	spare-M  1
65.93297657	0.002	32966.4883	RHS
66.16847214	0.002	33084.2361	LTO
66.47912587	0.002	33239.5629	LHS
66.72965306	0.002	33364.8265	RTO
67.10043332	0.002	33550.2167	RHS
67.26578127	0.002	33632.8906	LTO
67.57643499	0.002	33788.2175	LHS
67.8169411	0.002	33908.4706	RTO
68.20776353	0.002	34103.8818	RHS
68.36309039	0.002	34181.5452	LTO
68.67374412	0.002	34336.8721	LHS
68.98940839	0.002	34494.7042	RTO
69.34515701	0.002	34672.5785	RHS
69.58065257	0.002	34790.3263	LTO
69.90633793	0.002	34953.169	LHS
70.12179132	0.002	35060.8957	RTO
